======================================================================
 Oblivious Join Complexity (O(N*M)) & Time Log
======================================================================

--- 启动 Join 阶段: Table_A ⨝ Table_B (Pipelined) ---
  [Pairing] Bucket A: 508      | Bucket B: 478      | 扫描次数 (A*B): 242,824     
  [Pairing] Bucket A: 503      | Bucket B: 478      | 扫描次数 (A*B): 240,434     
  [Pairing] Bucket A: 503      | Bucket B: 475      | 扫描次数 (A*B): 238,925     
  [Pairing] Bucket A: 515      | Bucket B: 475      | 扫描次数 (A*B): 244,625     
  [Pairing] Bucket A: 515      | Bucket B: 493      | 扫描次数 (A*B): 253,895     
  [Pairing] Bucket A: 479      | Bucket B: 493      | 扫描次数 (A*B): 236,147     
  [Pairing] Bucket A: 479      | Bucket B: 458      | 扫描次数 (A*B): 219,382     
  [Pairing] Bucket A: 447      | Bucket B: 458      | 扫描次数 (A*B): 204,726     
  [Pairing] Bucket A: 447      | Bucket B: 493      | 扫描次数 (A*B): 220,371     
  [Pairing] Bucket A: 491      | Bucket B: 493      | 扫描次数 (A*B): 242,063     
  [Pairing] Bucket A: 517      | Bucket B: 493      | 扫描次数 (A*B): 254,881     
  [Pairing] Bucket A: 517      | Bucket B: 502      | 扫描次数 (A*B): 259,534     
  [Pairing] Bucket A: 464      | Bucket B: 502      | 扫描次数 (A*B): 232,928     
  [Pairing] Bucket A: 464      | Bucket B: 492      | 扫描次数 (A*B): 228,288     
  [Pairing] Bucket A: 477      | Bucket B: 492      | 扫描次数 (A*B): 234,684     
  [Pairing] Bucket A: 477      | Bucket B: 489      | 扫描次数 (A*B): 233,253     
  [Pairing] Bucket A: 468      | Bucket B: 489      | 扫描次数 (A*B): 228,852     
  [Pairing] Bucket A: 468      | Bucket B: 498      | 扫描次数 (A*B): 233,064     
  [Pairing] Bucket A: 483      | Bucket B: 498      | 扫描次数 (A*B): 240,534     
  [Pairing] Bucket A: 484      | Bucket B: 498      | 扫描次数 (A*B): 241,032     
  [Pairing] Bucket A: 484      | Bucket B: 485      | 扫描次数 (A*B): 234,740     
  [Pairing] Bucket A: 538      | Bucket B: 485      | 扫描次数 (A*B): 260,930     
  [Pairing] Bucket A: 538      | Bucket B: 483      | 扫描次数 (A*B): 259,854     
  [Pairing] Bucket A: 509      | Bucket B: 483      | 扫描次数 (A*B): 245,847     
  [Pairing] Bucket A: 509      | Bucket B: 462      | 扫描次数 (A*B): 235,158     
  [Pairing] Bucket A: 461      | Bucket B: 462      | 扫描次数 (A*B): 212,982     
  [Pairing] Bucket A: 461      | Bucket B: 472      | 扫描次数 (A*B): 217,592     
  [Pairing] Bucket A: 466      | Bucket B: 472      | 扫描次数 (A*B): 219,952     
  [Pairing] Bucket A: 459      | Bucket B: 472      | 扫描次数 (A*B): 216,648     
  [Pairing] Bucket A: 459      | Bucket B: 508      | 扫描次数 (A*B): 233,172     
  [Pairing] Bucket A: 508      | Bucket B: 508      | 扫描次数 (A*B): 258,064     
  [Pairing] Bucket A: 508      | Bucket B: 480      | 扫描次数 (A*B): 243,840     
  [Pairing] Bucket A: 515      | Bucket B: 480      | 扫描次数 (A*B): 247,200     
  [Pairing] Bucket A: 515      | Bucket B: 491      | 扫描次数 (A*B): 252,865     
  [Pairing] Bucket A: 522      | Bucket B: 491      | 扫描次数 (A*B): 256,302     
  [Pairing] Bucket A: 522      | Bucket B: 450      | 扫描次数 (A*B): 234,900     
  [Pairing] Bucket A: 474      | Bucket B: 450      | 扫描次数 (A*B): 213,300     
  [Pairing] Bucket A: 457      | Bucket B: 450      | 扫描次数 (A*B): 205,650     
  [Pairing] Bucket A: 457      | Bucket B: 446      | 扫描次数 (A*B): 203,822     
  [Pairing] Bucket A: 469      | Bucket B: 446      | 扫描次数 (A*B): 209,174     
  [Pairing] Bucket A: 469      | Bucket B: 505      | 扫描次数 (A*B): 236,845     
  [Pairing] Bucket A: 513      | Bucket B: 505      | 扫描次数 (A*B): 259,065     
  [Pairing] Bucket A: 513      | Bucket B: 511      | 扫描次数 (A*B): 262,143     
  [Pairing] Bucket A: 498      | Bucket B: 511      | 扫描次数 (A*B): 254,478     
  [Pairing] Bucket A: 498      | Bucket B: 508      | 扫描次数 (A*B): 252,984     
  [Pairing] Bucket A: 497      | Bucket B: 508      | 扫描次数 (A*B): 252,476     
  [Pairing] Bucket A: 509      | Bucket B: 508      | 扫描次数 (A*B): 258,572     
  [Pairing] Bucket A: 509      | Bucket B: 501      | 扫描次数 (A*B): 255,009     
  [Pairing] Bucket A: 479      | Bucket B: 501      | 扫描次数 (A*B): 239,979     
  [Pairing] Bucket A: 479      | Bucket B: 477      | 扫描次数 (A*B): 228,483     
  [Pairing] Bucket A: 492      | Bucket B: 477      | 扫描次数 (A*B): 234,684     
  [Pairing] Bucket A: 492      | Bucket B: 466      | 扫描次数 (A*B): 229,272     
  [Pairing] Bucket A: 459      | Bucket B: 466      | 扫描次数 (A*B): 213,894     
  [Pairing] Bucket A: 459      | Bucket B: 464      | 扫描次数 (A*B): 212,976     
  [Pairing] Bucket A: 469      | Bucket B: 464      | 扫描次数 (A*B): 217,616     
